filename,title,date,char_count,h2_count,h3_count,issue_count,issues
work_injury_insurance.md,外国人労働者の労災保険適用ガイド：企業が知っておくべき手続きと給付内容,2025-03-26,2697,5,3,0,
bjt2.md,外国人社員に不可欠な７つの日本語能力とは？BJTビジネス日本語能力テスト【後編】,2025-04-10,2712,3,10,0,
recruitment_of_foreign_workers.md,初めての外国人材採用ガイド｜メリット・注意点・手続きの流れを徹底解説,2025-04-03,2755,5,8,0,
bjt.md,外国人採用＆育成に！人事が知るべきBJTビジネス日本語能力テストとは【前編】,2025-04-08,2812,3,5,0,
workplace_communication.md,日本の常識が通じない？外国人社員の「上司観」「報連相」の捉え方,2025-06-16,2815,3,6,0,
japanese_lang_skills3.md,日本語能力試験（JLPT）だけでは危険！人事が知るべき「日本語力の見極め方」,2025-03-27,2819,4,7,0,
japanese_reading.md,外国人社員の日本語力問題！「読む」力の伸ばし方,2025-03-01,2899,3,8,0,
diversity_recruitment.md,企業の成長を支えるダイバーシティ採用｜外国人採用がもたらす可能性とは,2025-03-18,2914,6,10,0,
esi.md,在留資格「技術・人文知識・国際業務（技人国）」を徹底解説,2025-01-10,2963,5,9,0,
clear_japanese.md,実践！「伝わる日本語」で指示を出すための言い換え表現集,2025-06-19,2972,3,4,0,
highly_skilled_professional.md,高度専門職の徹底解説｜要件・優遇措置・申請方法を詳しく解説,2025-04-02,3120,5,7,0,
multinational_team.md,多国籍チームにありがちなトラブルとその回避策5選,2025-06-06,3148,3,8,0,
japanese_lang_skills2.md,外国人採用担当者必見！人事が知るべき「日本語の検定試験」,2025-03-13,3235,2,7,0,
communication2.md,外国人社員と円滑に働くために①｜日本人社員が現場で使える厳選フレーズ5選,2025-05-12,3341,3,8,0,
resume.md,特定技能編｜外国人材採用のコツを知ろう！履歴書・面接で見るべきポイントとは？,2025-05-26,3366,3,4,0,
chinese_personnel.md,中国人材を採用するなら知っておきたい！文化、特徴、採用のポイントを解説,2025-01-06,3455,4,11,0,
vietnamese_personnel.md,ベトナム人材を採用するなら知っておきたい！文化、特徴、採用のポイントを解説,2024-12-24,3567,4,9,0,
simple_japanese.md,外国人材に伝わる！「やさしい日本語」でのコミュニケーション術,2024-12-26,3606,5,10,0,
nursing_care_training2.md,外国人介護士のリアル：就労後の教育と直面する課題,2025-03-24,3614,1,7,0,
ojt_method.md,外国人社員向けOJTで気をつけたい5つのポイント,2025-06-26,3673,3,5,0,
sense_of_time.md,文化による「時間感覚」の違いとチーム作りのポイント,2025-06-23,3673,3,5,0,
business_manners3.md,“なぜ”を伝えると変わる！外国人社員に伝わる“日本のビジネスマナー”の教え方（後編）,2025-04-28,3744,3,8,0,
designated-activities-46.md,在留資格「特定活動46号」を徹底解説。「技術・人文知識・国際業務（技人国）」との違いとは？,2025-01-17,3786,5,10,0,
solving_communication_issues.md,外国人材定着に向けたコミュニケーション課題の解決方法とは？,2024-12-18,3801,4,11,0,
japanese_language_teacher.md,なぜ今、日本語教師が国家資格に？ー登録日本語教員制度の背景と意義ー,2025-05-07,3864,5,5,0,
nepali_personnel.md,ネパール人材を採用するなら知っておきたい！文化、特徴、採用のポイントを解説,2025-03-06,4000,5,14,0,
status_and_issues_hiring_foreigner.md,外国人労働者雇用の最新動向と課題,2024-12-16,4441,4,13,0,
risk_managemen.md,外国人採用で失敗しないためのリスク管理完全ガイド｜担当者が今すぐやるべき事とは？,2025-03-19,5174,4,9,0,
confirmation_of_residence_status.md,「不法就労」はこう防ぐ！外国人採用における在留資格確認の全手順,2025-02-19,5533,8,20,0,
nursing_care1.md,外国人介護士の適性を見抜く質問集｜日本語力より大切な5つの資質とは？,2025-06-13,5644,3,16,0,
parttimework_for_international_students.md,外国人留学生アルバイトを雇用する際の注意点を徹底解説,2024-12-20,6131,3,12,0,
precautions_steps-to-adoption.md,外国人雇用の注意点と採用までのステップを解説！,2024-12-12,6318,6,12,0,
gaikokujin-jinken-mondai.md,外国人材の人権問題とは？企業が知るべきリスクと対策【2026年最新】,2026-01-19,6608,7,29,0,
ikusei-shuro-seido.md,育成就労制度とは？技能実習との違いと2027年施行への準備【保存版】,2026-01-19,6935,8,30,0,
specified_skilled_worker.md,【25年1月最新】特定技能制度：16分野と受入れ状況のまとめ,2025-01-02,7387,3,22,0,
architecture.md,建築業の外国人材採用、なぜ失敗する？「現場で通じない」を防ぐ日本語評価すすめ,2026-01-07,7778,9,16,0,
job_posting.md,外国人採用のための求人票の作り方＜基礎編＞｜ポイント・注意点を解説,2025-02-18,7857,6,13,0,
points_to_note.md,【2025年版】外国人採用の注意点｜ 成功のためのポイントと手順を徹底解説,2025-03-12,8538,7,13,0,
filipino_personnel.md,フィリピン人介護人材の採用ガイド｜特徴・メリットから必須手続きまで徹底解説,2025-02-24,9130,9,20,0,
japanese_lang_skills.md,【2025年最新版】外国人採用の日本語能力ガイド｜失敗しないレベルの見極め方から面接、育成まで,2024-12-10,9161,6,22,0,
onboarding.md,外国人オンボーディング完全ガイド｜離職率を半減させた実践ステップ【2026年版】,2025-03-10,9343,7,27,0,
2025_foreign-human-resources.md,【2026年最新】外国人材紹介会社おすすめ5選｜絶対に失敗しない選び方と比較ポイントを徹底解説,2025-12-27,9643,8,30,0,
